,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
301,302,2038,4.08067,11.6226,0.88,-3.49745,-3.70867,1.49753,0.00779,-2.98691,20.6197,0.7876,1360.95,1591.61,230.67,1491
302,303,1171,43.12952,8.6106,0.2034,-3.53189,-3.63011,1.1264,0.09265,-3.03527,21.0149,0.1039,1730.4,14855.13,13124.73,1636
303,304,2148,4.33686,6.6986,0.9417,-2.52779,-3.36113,0.45053,0.33094,-1.67338,16.931,0.8245,1057.19,1290.77,233.58,1048
304,305,2139,45.67885,7.8135,0.886,-1.81826,-3.56174,2.70819,7.11279,-2.43369,16.5552,0.7375,1494.81,13889.49,12394.69,1485
305,306,2307,26.75682,25.5838,0.0442,-3.04245,-4.20679,1.55537,0.3935,-3.00745,18.9543,0.5823,4693.37,209230.47,204537.1,4861
306,307,1260,4.86545,21.5725,0.1069,-3.14321,-4.46283,1.02867,26.23253,-2.24064,18.6303,0.698,2475.87,2768.1,292.23,2512
307,308,308,7.04414,5.0813,0.7025,-3.75074,-3.25828,2.12218,1.1445,-2.79596,17.0601,0.9659,925.83,38256.1,37330.28,966
308,309,1516,16.86952,79.3664,0.0573,-2.69254,-2.39005,0.47358,0.62686,-3.17881,21.1896,0.4319,5741.02,1047229.54,1041488.53,5889
309,310,1473,19.75117,9.123,0.1336,-2.97035,-2.78859,0.85001,0.36592,-2.54207,19.4416,0.7125,1589.34,380375.18,378785.84,1734
310,311,3155,15.29234,7.6845,0.5275,-2.17677,-3.5421,1.79439,10.23526,-2.33797,18.5754,0.7803,1355.21,2701.02,1345.8,1460
311,312,2103,4.8345,10.6859,0.2191,-2.90832,-3.32095,2.34637,1.20637,-2.27831,16.8764,0.9812,1445.58,82825.05,81379.46,1475
312,313,3026,57.60559,16.4326,0.0715,-3.26451,-3.43179,0.88063,26.18182,-3.0815,19.6164,0.0165,1875.89,11324.09,9448.19,1979
313,314,1972,52.50891,5.1208,0.0216,-3.34753,-3.93498,1.1919,0.25087,-2.62331,18.979,0.071,988.0,8994.06,8006.06,973
314,315,359,60.24806,19.9096,0.212,-1.99808,-4.90632,0.59655,2.46702,-2.58771,20.0166,0.6512,2082.94,2523.13,440.19,2058
315,316,2430,40.51833,12.5349,0.0264,-2.69014,-3.93533,4.58621,3.05166,-2.72811,18.0047,0.4263,2490.09,107649.36,105159.27,2382
316,317,324,12.92214,4.0278,0.0088,-3.20164,-3.62731,0.25368,6.65671,-2.30023,20.7384,0.859,660.16,2993.92,2333.75,766
317,318,891,10.72597,57.0039,0.0405,-3.3143,-4.09879,0.29134,0.10576,-2.97556,17.8857,0.2349,5674.67,90700.32,85025.64,5889
318,319,1356,14.23813,5.54,0.0813,-3.48556,-3.73653,1.37176,0.66995,-2.00534,18.6244,0.716,964.86,1831.46,866.6,1053
319,320,320,18.94243,14.5275,0.1551,-4.5506,-3.94189,1.18696,0.02896,-2.23756,18.1739,0.9827,2729.07,3658.3,929.22,2760
320,321,1586,18.31566,11.1591,0.0603,-4.04877,-3.3271,0.94666,1.55852,-2.5171,17.7442,0.8484,2020.36,162092.44,160072.08,2120
321,322,626,21.17102,3.1596,0.8022,-1.8196,-4.23709,46.75312,0.08124,-1.98808,18.9166,0.9333,601.73,610.93,9.2,601
322,323,1363,43.19959,35.307,0.1671,-3.25584,-3.58614,1.39539,0.01762,-3.22578,18.4899,0.475,5054.3,7984005.15,7978950.85,5140
323,324,2252,25.12722,9.7301,0.1795,-2.12182,-3.70086,4.2714,0.16933,-2.49843,18.85,0.8772,1778.33,16423.88,14645.55,1849
324,325,2709,30.15554,16.6981,0.1144,-4.12202,-3.62814,0.73121,0.33194,-2.90985,17.185,0.7924,3099.39,1639386.37,1636286.98,3173
325,326,3101,12.63035,24.8488,0.4031,-3.17129,-3.55671,0.78497,0.01194,-2.68848,18.1796,0.7865,3441.64,33046.13,29604.49,3560
326,327,1483,7.63539,13.2177,0.0323,-2.9509,-3.00399,1.44191,0.01823,-2.74921,18.1703,0.9278,1835.99,246435.18,244599.19,1980
327,328,1980,50.01292,14.0017,0.5833,-4.01858,-3.7352,0.72281,0.73616,-2.4452,20.1171,0.656,2256.25,3817.01,1560.76,2469
328,329,2564,15.21602,26.7343,0.3285,-3.60777,-3.71716,0.824,0.00596,-2.60771,20.9611,0.688,3902.33,6338.37,2436.04,3984
329,330,1860,36.03652,35.1917,0.1618,-4.43544,-3.7652,0.94546,11.3024,-2.97539,19.6124,0.6416,5614.7,925352.33,919737.62,5809
330,331,2392,2.89122,41.177,0.042,-3.962,-4.13399,1.27113,0.02353,-2.96122,19.0657,0.9593,4062.26,10428.38,6366.12,4186
331,332,2389,23.56432,26.5683,0.1631,-2.41484,-3.45988,0.42342,0.00622,-2.97412,17.7335,0.4187,4600.44,257105.75,252505.31,4762
332,333,1650,50.85981,9.5925,0.0623,-2.99544,-2.99931,0.41185,0.76972,-2.38522,18.0661,0.4929,1844.06,145134.56,143290.5,1823
333,334,959,4.75734,8.0201,0.8874,-3.31566,-3.78163,1.79418,0.00762,-2.86764,20.7445,0.7189,1218.45,3614.8,2396.35,1214
334,335,1031,51.38427,5.4809,0.0984,-2.69402,-3.71378,1.38938,22.97758,-2.68284,21.0507,0.6544,1011.05,6536.46,5525.41,1042
335,336,1656,10.37826,3.1627,0.221,-1.84684,-2.81301,0.21525,45.20709,-2.29692,19.565,0.8877,537.2,2976.47,2439.27,601
336,337,3096,42.23278,16.4908,0.2872,-3.66068,-4.9433,0.83025,1.79843,-2.65819,17.7834,0.9574,3058.2,10009.51,6951.31,3133
337,338,1188,56.52444,7.5415,0.0388,-2.64043,-3.76564,1.06636,1.65871,-2.70695,19.0787,0.9552,1222.22,26627.3,25405.08,1237
338,339,199,56.78341,20.9835,0.1422,-3.59564,-4.0675,1.23675,0.84896,-2.69201,19.037,0.8576,2528.31,29808.61,27280.31,2489
339,340,1615,31.64509,4.1812,0.2457,-4.40258,-3.94868,0.78516,0.03358,-2.15523,17.6941,0.4635,834.14,1181.81,347.67,795
340,341,1407,17.10704,12.9007,0.1651,-2.26006,-3.83294,5.30535,0.61516,-2.73081,18.1564,0.9687,2381.9,98467.36,96085.46,2451
341,342,2788,7.84097,17.7588,0.0569,-3.15583,-3.19253,0.35017,0.30805,-2.70509,19.5697,0.577,2406.0,123352.16,120946.15,2431
342,343,1321,42.74678,12.9656,0.0205,-2.77174,-3.7987,0.55966,0.10723,-2.65518,18.9749,0.4346,2336.08,172307.04,169970.96,2464
343,344,3032,20.33028,15.4176,0.7564,-3.19323,-4.813,1.84894,0.04501,-2.4232,18.9432,0.7472,2874.17,3441.34,567.17,2929
344,345,1308,37.05862,4.9089,0.2146,-1.83882,-2.84525,8.89036,2.3905,-2.00385,18.3292,0.9877,895.7,57686.04,56790.34,933
345,346,845,0.34165,12.8605,0.0642,-3.74225,-4.16594,1.05353,0.25805,-2.92449,18.3157,0.6085,1237.62,99729.43,98491.82,1254
346,347,333,45.15487,15.8189,0.218,-3.7765,-4.56024,0.83074,7.38496,-2.90942,19.7632,0.5296,2985.83,28295.36,25309.54,3006
347,348,2799,1.1775,5.1815,0.0182,-2.42049,-3.50711,0.42223,0.01391,-2.22799,19.5901,0.7189,625.6,1689.51,1063.91,604
348,349,2911,24.57,25.6001,0.236,-1.89079,-3.9369,1.23014,0.01716,-2.87523,18.9414,0.8451,4642.38,33651.68,29009.3,4766
349,350,2636,61.98981,58.9773,0.0333,-3.66791,-3.13103,1.22608,0.01164,-2.39531,18.6657,0.9666,5421.4,325896.31,320474.91,5603
350,351,1471,37.49924,17.7065,0.0259,-3.73403,-4.53315,1.0821,0.00661,-2.67739,19.3822,0.8437,3209.61,18617.26,15407.64,3364
351,352,514,24.301,16.1507,0.113,-2.36147,-2.61223,0.44666,3.6128,-2.7038,20.1712,0.8036,2969.28,745423.13,742453.85,3069
352,353,2513,44.97715,26.5149,0.1183,-2.64891,-3.15789,2.91167,0.78717,-2.25875,16.6484,0.5161,3943.72,256144.32,252200.6,4136
353,354,1878,4.28247,22.9714,0.0584,-3.50367,-3.6536,0.95853,1.17559,-2.87841,18.8903,0.8296,2541.57,412053.54,409511.97,2588
354,355,2071,23.45884,10.8635,0.8608,-4.0579,-3.28516,0.52031,0.20477,-2.25934,18.4486,0.8927,2155.16,4749.47,2594.32,2064
355,356,750,16.82032,8.1818,0.0523,-4.31125,-2.98389,1.18018,0.00978,-2.75657,19.2159,0.5608,1465.44,178487.97,177022.53,1555
356,357,1681,40.77362,66.2704,0.4464,-3.11142,-1.69553,1.10664,50.60723,-2.03111,16.579,0.9827,5805.14,312084.4,306279.26,5889
357,358,1500,12.71489,8.2033,0.2738,-3.01928,-3.80743,1.04072,0.10334,-2.48012,18.9611,0.9622,1566.6,4216.8,2650.19,1559
358,359,1756,16.88129,9.2564,0.8143,-1.64391,-3.72652,64.29638,0.05129,-2.28138,17.4389,0.9908,1718.81,3825.96,2107.15,1759
359,360,430,40.35173,6.8102,0.0807,-2.88613,-3.48568,2.15734,0.05921,-2.53609,18.775,0.9373,1180.67,47160.09,45979.43,1294
360,361,1765,25.4088,17.5968,0.7908,-3.3092,-4.09583,0.69621,0.43848,-2.70712,19.7111,0.5466,3332.35,17521.84,14189.5,3343
361,362,666,46.85023,4.2052,0.0686,-1.95609,-3.59658,0.42915,13.12895,-2.51264,17.953,0.0739,807.37,30503.09,29695.71,799
362,363,574,57.72015,27.3197,0.2791,-3.44898,-3.76097,1.85665,0.22676,-3.15596,20.5511,0.3702,2890.78,7308.52,4417.74,3002
363,364,2578,4.85435,38.7345,0.4548,-3.82839,-4.22802,1.53451,0.42978,-2.13276,18.3193,0.8707,4072.76,4507.48,434.72,4140
364,365,1917,53.6905,15.2876,0.3148,-3.60852,-3.70857,1.20928,12.16458,-2.73688,20.5703,0.3714,2124.24,11432.62,9308.37,2242
