,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
436,437,335,11.28699,7.1064,0.1385,-2.85457,-3.86477,0.60943,0.0115,-2.44498,19.0972,0.502,1269.79,5400.23,4130.43,1351
437,438,14,34.95256,18.586,0.0901,-2.75819,-3.7622,1.23322,0.94169,-3.029,20.9458,0.4376,3516.29,83404.48,79888.19,3531
438,439,1365,52.42653,29.5443,0.7759,-2.52074,-4.26607,1.2507,0.20997,-2.29992,17.9164,0.9229,3574.44,6111.84,2537.39,3716
439,440,1347,38.07636,52.2752,0.0412,-2.17618,-3.99379,4.38086,0.00517,-3.06303,19.5726,0.4244,5761.62,24631.59,18869.97,5889
440,441,3098,40.49503,7.7388,0.0905,-3.25136,-2.60749,0.89507,0.17079,-3.09686,20.4572,0.0415,1392.24,489643.17,488250.92,1471
441,442,1401,51.71716,20.5745,0.1317,-3.71204,-3.30324,1.02075,0.02532,-2.60548,19.3265,0.6762,2832.2,152618.67,149786.47,2932
442,443,2584,49.5398,27.6565,0.3483,-2.06884,-3.35809,1.00571,0.14169,-3.02324,20.7863,0.7301,3596.55,14667.82,11071.26,3811
443,444,362,25.45863,91.1343,0.0585,-2.58879,-3.75432,0.17397,0.04076,-2.91275,20.9399,0.7538,5699.53,92534.97,86835.45,5889
444,445,1224,47.79932,23.6051,0.1609,-2.6551,-4.47556,0.9426,0.34595,-2.61522,19.2991,0.7216,3535.17,8892.13,5356.96,3592
445,446,2052,33.16307,29.4885,0.0183,-3.74019,-2.09061,1.68152,14.16081,-2.74817,20.8618,0.8695,5601.69,6578489.1,6572887.41,5541
446,447,530,18.19385,7.8827,0.1891,-3.53557,-3.6815,1.1319,11.77157,-3.0655,21.0288,0.2713,1382.88,499756.72,498373.83,1498
447,448,3084,40.29032,6.916,0.0128,-3.38813,-2.44142,0.49077,0.15147,-3.00323,20.8922,0.3115,1182.51,673517.59,672335.08,1314
448,449,289,11.23033,5.8665,0.1733,-3.54136,-2.42304,1.01738,23.12753,-2.60263,20.3734,0.2383,1061.75,59144.28,58082.53,1115
449,450,1666,49.69239,10.2568,0.0974,-3.82426,-3.96681,0.88802,0.02656,-3.01913,19.7342,0.0885,1909.52,9410.43,7500.91,1949
450,451,2470,58.39164,28.8922,0.9869,-4.00685,-4.05354,1.61499,39.98065,-2.77294,18.6851,0.5542,2999.85,34270.59,31270.73,3088
451,452,196,25.35714,14.4219,0.0051,-2.24529,-4.36242,3.3995,2.93574,-3.23396,20.8345,0.173,2763.68,36390.24,33626.55,2740
452,453,846,22.25887,60.5013,0.155,-3.96178,-4.10913,1.01669,0.1089,-2.48636,18.2205,0.6517,5762.06,20009.75,14247.69,5889
453,454,1810,13.27746,21.5151,0.0879,-2.98235,-4.77883,1.73444,1.57505,-2.88693,19.1134,0.254,3281.29,19802.44,16521.14,3305
454,455,2719,31.77289,6.4755,0.7918,-3.63961,-3.26685,1.51146,0.04821,-2.37057,17.664,0.9642,1174.72,6297.07,5122.36,1231
455,456,2094,39.49963,10.7769,0.3847,-3.74445,-3.2872,1.26901,3.79972,-2.4634,20.1368,0.5874,2110.12,5194.38,3084.26,2048
456,457,2954,7.48663,36.9345,0.2155,-2.70159,-3.5802,2.10239,0.01399,-3.0447,18.9996,0.8847,4129.3,23207.71,19078.41,4219
457,458,680,43.85354,39.6498,0.1623,-3.0331,-3.64928,0.56501,0.20364,-1.99762,17.7886,0.9326,5268.44,28697.05,23428.61,5490
458,459,2399,19.59779,10.9391,0.3484,-4.0038,-4.66346,0.80788,0.00855,-2.55368,17.8068,0.8279,2074.44,6130.91,4056.47,2079
459,460,2084,2.22025,50.9729,0.292,-3.70166,-3.70643,0.75573,1.43402,-2.72487,19.7656,0.9742,4948.29,74442.4,69494.11,5053
460,461,399,56.1969,10.8677,0.0192,-1.97642,-3.67273,3.36563,3.66181,-2.7776,20.937,0.9335,1496.75,45579.95,44083.2,1584
461,462,282,28.66547,220.3309,0.0125,-3.42241,-3.05278,0.80357,0.06106,-3.1698,21.5415,0.2165,5796.87,510609.25,504812.38,5889
462,463,2130,30.92792,15.6116,0.9258,-4.77794,-2.35949,1.57448,2.28316,-2.58393,17.7641,0.8116,2898.92,43314.57,40415.65,2966
463,464,668,12.68698,24.2156,0.0357,-3.59839,-3.591,1.20069,4.15578,-2.84491,17.8122,0.2676,3316.58,1332919.16,1329602.57,3505
464,465,2035,14.41891,11.7351,0.0619,-4.03276,-3.63134,0.9369,0.11444,-2.677,19.2851,0.8559,2187.67,143599.97,141412.3,2230
465,466,2851,61.24204,26.3777,0.0282,-2.71136,-3.7331,2.80344,1.21579,-2.71708,20.8702,0.9159,2521.46,25021.57,22500.11,2578
466,467,2302,42.8595,1.5857,0.0888,-1.88031,-3.95916,2.89122,2.06616,-1.6507,17.6511,0.6843,277.22,292.68,15.47,302
467,468,2491,60.79787,6.9203,0.6188,-3.57451,-3.67839,0.57783,0.71087,-1.40328,16.515,0.9593,756.38,978.97,222.59,772
468,469,2522,16.58003,15.3573,0.6479,-1.56432,-3.49427,1.86813,0.04546,-2.96762,21.211,0.2756,2848.88,4464.19,1615.31,2918
469,470,373,7.51639,31.8498,0.1687,-2.1179,-3.30529,31.12117,0.01045,-3.15889,18.7974,0.0271,3645.99,40494.56,36848.57,3739
470,471,486,1.30947,17.8693,0.0298,-3.16027,-3.98486,0.37104,0.16881,-2.35695,18.51,0.8898,1673.51,7997.38,6323.87,1822
471,472,1771,12.40501,10.4394,0.0469,-2.27871,-3.95943,0.47649,0.04682,-2.85047,21.4877,0.6745,1975.0,19230.39,17255.39,1984
472,473,618,16.64265,16.8838,0.0713,-3.00851,-3.85293,1.38962,12.22834,-2.78063,18.7572,0.6155,3193.87,47855.01,44661.15,3185
473,474,2681,17.10186,10.9939,0.0823,-3.90894,-3.80948,0.80336,1.03914,-2.26836,18.3165,0.6124,2075.92,6491.82,4415.89,2089
474,475,1534,53.23767,8.6873,0.8574,-1.42276,-4.21076,5.98646,0.1028,-2.09347,17.5611,0.8936,1560.24,1704.87,144.62,1651
475,476,585,12.7365,4.3208,0.2163,-3.66078,-3.58145,1.11921,0.30267,-2.32781,17.7669,0.9709,824.29,11173.52,10349.23,821
476,477,1921,51.81827,31.5937,0.3719,-3.59031,-4.00081,0.74833,0.2431,-3.65659,21.2179,0.1979,3911.29,13960.76,10049.46,3969
477,478,2154,25.30205,13.3078,0.0293,-3.04848,-3.74453,2.95765,33.78709,-3.01737,20.3541,0.2375,2539.63,25703.06,23163.43,2529
478,479,1495,61.58689,3.5751,0.9707,-2.39292,-3.755,0.33145,20.82637,-2.00295,16.8371,0.8073,401.25,442.72,41.47,379
479,480,895,61.24149,5.194,0.0035,-3.06007,-3.6712,2.34737,0.01308,-2.79118,22.3874,0.4449,542.12,6269.67,5727.56,566
480,481,1833,29.9122,16.3878,0.9595,-3.99424,-4.33129,0.62147,0.20094,-2.4439,20.5566,0.926,3061.7,3518.4,456.7,3114
481,482,857,44.74127,23.0159,0.0269,-2.36706,-4.14952,3.18166,3.00846,-3.08024,20.5942,0.6387,3671.09,71753.64,68082.55,3826
482,483,3103,54.57363,6.7373,0.9159,-2.35656,-3.84311,0.49592,0.43893,-2.55627,19.9899,0.8946,1270.75,2796.9,1526.16,1280
483,484,57,39.91279,21.6926,0.1881,-3.37862,-2.55659,1.14246,0.00443,-3.52564,21.6712,0.2458,4059.35,18905.68,14846.33,4121
484,485,1334,3.62754,13.9021,0.1767,-3.1718,-2.65295,1.56153,2.70584,-2.32372,17.4948,0.5921,1514.92,1247974.6,1246459.68,1666
485,486,2422,20.19299,17.0207,0.3263,-4.35269,-4.33427,1.18632,1.35948,-2.98919,18.1638,0.5025,3232.41,12427.07,9194.66,3234
486,487,1932,15.59946,21.3602,0.0433,-3.95027,-4.20024,1.37343,1.53474,-2.57274,19.3395,0.2776,3482.17,8846.8,5364.63,3510
487,488,919,32.2366,6.8404,0.4327,-3.10375,-3.16409,0.80291,0.21104,-2.7196,19.6922,0.8856,1220.09,11748.49,10528.4,1300
488,489,1016,32.19986,35.5751,0.1695,-3.58454,-3.94386,1.47833,0.05302,-2.89194,18.1503,0.9075,5516.14,54607.97,49091.83,5889
489,490,1322,15.94276,15.5805,0.216,-3.67373,-4.0124,0.92329,0.03101,-2.63822,18.3006,0.8527,2944.1,37301.65,34357.55,2960
490,491,2617,3.88477,17.5287,0.3488,-3.77089,-3.29605,0.84931,1.33072,-2.17466,18.6873,0.907,1982.13,31002.31,29020.18,2034
491,492,3040,2.80901,6.8296,0.0616,-3.22025,-2.43996,1.36115,17.10143,-2.72793,19.9282,0.2322,942.7,279696.91,278754.21,916
492,493,2378,51.49805,18.8345,0.4482,-3.37098,-3.24279,0.58553,0.24828,-2.6612,17.841,0.8089,2871.65,86913.11,84041.46,2787
493,494,1734,27.65634,7.2069,0.1392,-4.72588,-4.18183,1.17107,6.64831,-2.86246,19.8127,0.9273,1332.54,20967.05,19634.51,1370
494,495,1911,7.58537,9.8187,0.0698,-3.24449,-3.67244,2.37929,9.39091,-2.3576,17.793,0.5603,1559.85,49734.89,48175.04,1653
495,496,605,39.8948,15.9876,0.1494,-3.52708,-3.43307,0.88869,0.04212,-3.1296,19.1821,0.3158,2931.53,83270.52,80338.98,3038
496,497,89,26.89807,11.4833,0.0898,-3.54238,-2.88264,1.34502,13.84216,-2.55199,19.1161,0.7306,2050.57,494538.93,492488.37,2182
497,498,188,2.04496,9.0796,0.8132,-2.91149,-3.77561,1.81325,0.03939,-1.76397,16.1336,0.9988,1054.78,1064.63,9.85,1056
498,499,1584,14.36448,42.3405,0.0304,-2.20591,-4.15656,4.79201,0.1705,-2.76113,19.7497,0.6353,5342.27,46670.66,41328.39,5386
